Scientific,BLFamilyLatin,BLFamilyEnglish,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,ForStrat.watbelowsurf,ForStrat.wataroundsurf,ForStrat.ground,ForStrat.understory,ForStrat.midhigh,ForStrat.canopy,ForStrat.aerial,PelagicSpecialist,Nocturnal,BodyMass.Value,CU_c_spMin,CU_c_spMean,CU_c_spSD,CU_c_spMax,redList,SiTDB_trade,ED,genus,species,nsong,rangeExtent,resid.songQuality,distr_country,distr_region,distr_continent,SiTDB_trade_as_threat,logBodyMass,logRangeExtent,logAbundance,trade.binary,ForStrat.Category,Diet.FruiNect,Diet.Invertebrate,Diet.Omnivore,Diet.PlantSeed,Diet.VertFishScav,watbelowsurf,wataroundsurf,ground,understory,midhigh,canopy,aerial,popRange,popLow,popHigh
Abroscopus albogularis,Sylviidae,Old World warblers,Rufous-faced Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,1,0,0,0,0,0,4.84,13.98085063,28.69020941,11.78693902,48.39298541,LC,evidence,8.241215427,Abroscopus,albogularis,67,4300000,0.206178369,"BD,BT,CN,IN,LA,MM,NP,TH,TW,VN","South Asia,East Asia & Pacific",Asia,NA,0.684845362,6.633468456,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Abroscopus schisticeps,Sylviidae,Old World warblers,Black-faced Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,1,0,0,0,4.7,18.12686571,42.75912817,23.2511456,80.45696534,LC,NA,8.241215427,Abroscopus,schisticeps,12,2160000,-0.416892577,"BT,CN,IN,MM,NP,VN","South Asia,East Asia & Pacific",Asia,NA,0.672097858,6.334453751,NA,Not trade-threatened,ForStrat.canopy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
Abroscopus superciliaris,Sylviidae,Old World warblers,Yellow-bellied Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.8,0,0.2,0,0,0,6.48,9.741035743,20.60441153,11.98295625,44.08826098,LC,evidence,15.64057819,Abroscopus,superciliaris,88,8290000,0.232013154,"BD,BN,BT,CN,ID,IN,KH,LA,MM,MY,NP,TH,VN","South Asia,East Asia & Pacific",Asia,NA,0.811575006,6.918554531,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthagenys rufogularis,Meliphagidae,Honeyeaters,Spiny-cheeked Honeyeater,0.4,0,0,0,0.1,0,0.1,0.3,0.1,0,Omnivore,0,0,0.1,0.2,0.4,0.2,0.1,0,0,47.8,18.06676483,24.20272378,6.003498578,33.84198796,LC,evidence,11.83713841,Acanthagenys,rufogularis,70,7380000,0.095020252,AU,East Asia & Pacific,Oceania,NA,1.679427897,6.868056362,NA,Not trade-threatened,Mixed strategies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthisitta chloris,Acanthisittidae,New Zealand wrens,Rifleman,0.9,0,0,0,0,0,0.1,0,0,0,Invertebrate,0,0,0.2,0.6,0.2,0,0,0,0,6.91,14.6061586,17.51089195,3.315313055,22.23101357,LC,NA,49.62090607,Acanthisitta,chloris,28,563000,0.076717088,NZ,East Asia & Pacific,Oceania,NA,0.839478047,5.750508395,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza apicalis,Acanthizidae,Thornbills and gerygones,Inland Thornbill,0.7,0,0,0,0,0,0.1,0.1,0.1,0,Invertebrate,0,0,0.4,0.4,0.2,0,0,0,0,7.62,15.27085424,20.50947267,4.712366998,27.8731147,LC,NA,11.38992905,Acanthiza,apicalis,28,5940000,0.064825717,AU,East Asia & Pacific,Oceania,NA,0.881954971,6.773786445,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza chrysorrhoa,Acanthizidae,Thornbills and gerygones,Yellow-rumped Thornbill,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0.8,0.2,0,0,0,0,0,9.29,8.225400123,20.69147929,10.83279078,40.57722535,LC,evidence,11.80304168,Acanthiza,chrysorrhoa,28,7440000,0.033596205,AU,East Asia & Pacific,Oceania,NA,0.968015714,6.871572936,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza ewingii,Acanthizidae,Thornbills and gerygones,Tasmanian Thornbill,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,6.9,16.76709237,18.539239,1.627942599,21.54144088,LC,NA,8.812291483,Acanthiza,ewingii,19,134000,0.42934901,AU,East Asia & Pacific,Oceania,NA,0.838849091,5.127104798,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza inornata,Acanthizidae,Thornbills and gerygones,Western Thornbill,0.8,0,0,0,0,0,0,0.2,0,0,Invertebrate,0,0,0.2,0.3,0.3,0.2,0,0,0,7,9.349767822,17.07341086,4.491538714,23.26040224,LC,NA,7.948058491,Acanthiza,inornata,10,195000,0.117677737,AU,East Asia & Pacific,Oceania,NA,0.84509804,5.290034611,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza iredalei,Acanthizidae,Thornbills and gerygones,Slender-billed Thornbill,0.8,0,0,0,0,0,0,0,0.1,0.1,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,6.04,8.675752929,17.67472036,5.586102371,25.97912325,LC,NA,5.379039922,Acanthiza,iredalei,2,2410000,-0.795333874,AU,East Asia & Pacific,Oceania,NA,0.781036939,6.382017043,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza katherina,Acanthizidae,Thornbills and gerygones,Mountain Thornbill,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.2,0.5,0.3,0,0,0,7.2,16.01891913,20.57749538,4.519259733,28.82834725,LC,NA,6.191527039,Acanthiza,katherina,14,NA,NA,AU,East Asia & Pacific,Oceania,NA,0.857332496,NA,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"380,000-1,770,000",380000,1770000
Acanthiza lineata,Acanthizidae,Thornbills and gerygones,Striated Thornbill,0.6,0,0,0,0,0,0,0.2,0.2,0,Invertebrate,0,0,0,0.2,0.6,0.2,0,0,0,6.85,14.2624402,16.35323081,1.849245541,18.81918925,LC,NA,14.55466849,Acanthiza,lineata,23,1810000,0.147465378,AU,East Asia & Pacific,Oceania,NA,0.835690571,6.257678575,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
Acanthiza murina,Acanthizidae,Thornbills and gerygones,Papuan Thornbill,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0.7,0.3,0,0,0,8.4,14.74126744,18.538806,2.498538539,22.59398311,LC,NA,8.535554315,Acanthiza,murina,5,NA,NA,"ID,PG",East Asia & Pacific,"Asia,Oceania",NA,0.924279286,NA,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
Acanthiza nana,Acanthizidae,Thornbills and gerygones,Yellow Thornbill,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0,0,0.6,0.4,0,0,0,6.19,28.24277525,36.69283301,7.536198791,48.68301067,LC,NA,8.535554315,Acanthiza,nana,17,2790000,-0.037490091,AU,East Asia & Pacific,Oceania,NA,0.791690649,6.445604203,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
Acanthiza pusilla,Acanthizidae,Thornbills and gerygones,Brown Thornbill,0.7,0,0,0,0,0,0.1,0.1,0.1,0,Invertebrate,0,0,0.4,0.4,0.2,0,0,0,0,7.62,17.4267437,21.6129332,5.895357488,33.17964848,LC,NA,6.191527039,Acanthiza,pusilla,86,NA,NA,AU,East Asia & Pacific,Oceania,NA,0.881954971,NA,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza reguloides,Acanthizidae,Thornbills and gerygones,Buff-rumped Thornbill,0.8,0,0,0,0,0,0,0.1,0.1,0,Invertebrate,0,0,0.3,0.3,0.2,0.2,0,0,0,7.7,13.44185763,21.37810988,10.87905574,42.97727728,LC,NA,7.948058491,Acanthiza,reguloides,22,2620000,0.077684815,AU,East Asia & Pacific,Oceania,NA,0.886490725,6.418301291,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza robustirostris,Acanthizidae,Thornbills and gerygones,Slaty-backed Thornbill,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.2,0.4,0.4,0,0,0,0,6.1,9.249029076,16.48097336,4.839976537,24.10095955,LC,NA,5.379039922,Acanthiza,robustirostris,6,3020000,-0.458651562,AU,East Asia & Pacific,Oceania,NA,0.785329835,6.480006943,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthiza uropygialis,Acanthizidae,Thornbills and gerygones,Chestnut-rumped Thornbill,0.8,0,0,0,0,0,0,0,0.1,0.1,Invertebrate,0,0,0.2,0.4,0.4,0,0,0,0,6.4,6.619777507,20.54233776,7.76998168,28.76446777,LC,evidence,9.340908445,Acanthiza,uropygialis,29,6120000,0.075408424,AU,East Asia & Pacific,Oceania,NA,0.806179974,6.786751422,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthorhynchus superciliosus,Meliphagidae,Honeyeaters,Western Spinebill,0.3,0,0,0,0,0,0,0.7,0,0,FruiNect,0,0,0,0.6,0.2,0,0.2,0,0,9.72,13.84469175,19.44365799,3.730934008,23.01439754,LC,NA,17.39495779,Acanthorhynchus,superciliosus,6,351000,-0.328070315,AU,East Asia & Pacific,Oceania,NA,0.987666265,5.545307116,NA,Not trade-threatened,ForStrat.understory,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthorhynchus tenuirostris,Meliphagidae,Honeyeaters,Eastern Spinebill,0.5,0,0,0,0,0,0,0.5,0,0,Omnivore,0,0,0,0.7,0.1,0,0.2,0,0,10.44,14.3416376,20.76548181,4.065168146,25.93928588,LC,evidence,17.39495779,Acanthorhynchus,tenuirostris,47,3060000,0.207738146,AU,East Asia & Pacific,Oceania,NA,1.018700499,6.485721426,NA,Not trade-threatened,ForStrat.understory,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acanthornis magna,Acanthizidae,Thornbills and gerygones,Scrubtit,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.4,0.4,0.1,0.1,0,0,0,10.18,7.370787634,15.54126565,4.540668609,20.12204949,LC,NA,21.34800136,Acanthornis,magna,10,103000,-0.029485862,AU,East Asia & Pacific,Oceania,NA,1.007747778,5.012837225,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Achaetops pycnopygius,Sylviidae,Old World warblers,Rockrunner,0.8,0,0,0,0,0,0.1,0,0.1,0,Invertebrate,0,0,0.9,0.1,0,0,0,0,0,28.3,10.68715574,16.75101474,3.860132854,21.73246816,LC,NA,11.15134318,Achaetops,pycnopygius,14,639000,-0.097330543,"AO,NA",Sub-Saharan Africa,Africa,NA,1.451786436,5.805500858,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres albocinctus,Sturnidae,Starlings,Collared Myna,0.4,0,0.1,0,0,0,0.2,0.1,0.2,0,Omnivore,0,0,0.4,0.4,0.2,0,0,0,0,93.56,19.41540014,39.63537074,26.91776545,92.13010572,LC,evidence,1.524897518,Acridotheres,albocinctus,1,334000,-0.816931205,"CN,IN,MM","East Asia & Pacific,South Asia",Asia,NA,1.971090213,5.523746467,NA,Not trade-threatened,Mixed strategies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres cinereus,Sturnidae,Starlings,Pale-bellied Myna,0.8,0,0,0,0,0,0.2,0,0,0,Invertebrate,0,0,0.4,0.3,0.3,0,0,0,0,93.56,18.62360141,23.15094528,3.962882127,27.94187046,LC,evidence,1.349243053,Acridotheres,cinereus,0,NA,NA,"ID,MY,SG,TL",East Asia & Pacific,Asia,plausible,1.971090213,NA,NA,Trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10000,10000,10000
Acridotheres cristatellus,Sturnidae,Starlings,Crested Myna,0.5,0,0,0,0,0.1,0.4,0,0,0,Omnivore,0,0,0,0.5,0.5,0,0,0,0,116.31,20.02446241,25.78283645,5.881192759,36.90625051,LC,evidence,0.90114805,Acridotheres,cristatellus,51,4410000,0.240133113,"AR,BN,CN,JP,LA,MM,MY,PH,SG,TH,TW,VN","Latin America & Caribbean,East Asia & Pacific","Americas,Asia",NA,2.065617056,6.644438589,NA,Not trade-threatened,ForStrat.understory,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres fuscus,Sturnidae,Starlings,Jungle Myna,0.4,0,0,0,0,0,0.3,0.1,0.2,0,Omnivore,0,0,0.5,0.3,0.2,0,0,0,0,82.8,14.99580454,28.05993484,8.282923158,35.897972,LC,evidence,1.349243053,Acridotheres,fuscus,30,8230000,-0.071043879,"BD,BT,FJ,IN,MM,MY,NP,PK,TH,TK,TO,WS","South Asia,East Asia & Pacific","Asia,Oceania",NA,1.918030337,6.915399835,NA,Not trade-threatened,ForStrat.ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres ginginianus,Sturnidae,Starlings,Bank Myna,0.4,0,0.1,0,0,0,0.2,0.1,0.2,0,Omnivore,0,0,0.5,0.3,0.2,0,0,0,0,72,20.50806078,25.97014943,4.873412126,33.11240038,LC,evidence,2.786686331,Acridotheres,ginginianus,12,3180000,-0.316573488,"AE,AF,BD,BT,IN,KW,MM,NP,OM,PK,TW","Middle East & North Africa,South Asia,East Asia & Pacific",Asia,NA,1.857332496,6.50242712,NA,Not trade-threatened,ForStrat.ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres grandis,Sturnidae,Starlings,White-vented Myna,0.6,0,0,0,0,0,0.2,0,0.2,0,Invertebrate,0,0,0,0.7,0.3,0,0,0,0,98.91,19.87929683,28.54660816,5.96166555,35.41621604,LC,evidence,0.90114805,Acridotheres,grandis,22,NA,NA,"BD,BT,CN,IN,KH,LA,MM,MY,TH,VN","South Asia,East Asia & Pacific",Asia,NA,1.995240202,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acridotheres tristis,Sturnidae,Starlings,Common Myna,0.4,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,Omnivore,0,0,0.7,0.2,0.1,0,0,0,0,116.43,21.43405771,25.84923846,4.804277303,34.26503227,LC,evidence,2.786686331,Acridotheres,tristis,281,1.8e+07,0.779300345,"AE,AF,AU,BD,BH,BN,BT,CK,CN,EG,FJ,HK,ID,IN,IO,IQ,IR,KG,KH,KI,KM,KW,KZ,LA,LB,LK,MG,MM,MU,MV,MY,NC,NP,NZ,OM,PK,QA,RE,RU,SA,SB,SC,SG,SH,TH,TJ,TM,TO,TR,US,UZ,VN,VU,WS,ZA,ZW","Middle East & North Africa,South Asia,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,NA,North America","Asia,Oceania,Africa,Europe,Americas",NA,2.066064897,7.255272505,NA,Not trade-threatened,ForStrat.ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acrobatornis fonsecai,Furnariidae,Ovenbirds,Pink-legged Graveteiro,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0.4,0.6,0,0,0,13.7,20.53586555,23.673328,2.813942078,28.5880948,VU,NA,7.263440747,Acrobatornis,fonsecai,16,1996,0.392087504,BR,Latin America & Caribbean,Americas,NA,1.136720567,3.300160537,NA,Not trade-threatened,ForStrat.canopy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"2,500-9,999",2500,9999
Acrocephalus aequinoctialis,Sylviidae,Old World warblers,Kiritimati Reed-warbler,0.8,0,0.2,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,25,NA,NA,NA,NA,EN,NA,1.284157096,Acrocephalus,aequinoctialis,4,NA,NA,KI,East Asia & Pacific,Oceania,NA,1.397940009,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"2,500-9,999",2500,9999
Acrocephalus agricola,Sylviidae,Old World warblers,Paddyfield Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0.5,0.5,0,0,0,0,0,0,9.6,6.625023366,14.33888931,4.162757423,18.01015854,LC,NA,7.431793953,Acrocephalus,agricola,74,NA,NA,"AE,AF,AM,AT,BD,BE,BG,BH,CN,DE,DK,EE,FI,FO,FR,GB,GR,HK,HU,IE,IL,IN,IR,IT,KG,KZ,LA,LV,MK,MM,MN,MT,NL,NO,NP,OM,PK,PL,PT,RO,RU,SE,SI,TH,TJ,TM,TR,UA,UZ","Middle East & North Africa,South Asia,Europe & Central Asia,East Asia & Pacific","Asia,Europe",NA,0.982271233,NA,NA,Not trade-threatened,ForStrat.wataroundsurf,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"400,000-792,000",4e+05,792000
Acrocephalus arundinaceus,Sylviidae,Old World warblers,Great Reed-warbler,0.7,0,0.2,0,0,0,0.1,0,0,0,Invertebrate,0,0.2,0.2,0.6,0,0,0,0,0,30,7.377366545,16.38266947,5.288772498,23.50145514,LC,evidence,5.101051205,Acrocephalus,arundinaceus,893,NA,NA,"AE,AF,AL,AM,AO,AT,AZ,BA,BE,BF,BG,BH,BI,BJ,BW,BY,CD,CF,CG,CH,CI,CM,CN,CZ,DE,DJ,DK,DZ,EE,EG,EH,ER,ES,ET,FI,FO,FR,GA,GB,GE,GH,GI,GM,GN,GQ,GR,GW,HR,HU,IE,IL,IQ,IR,IS,IT,JO,KE,KG,KW,KZ,LB,LI,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MK,ML,MN,MR,MT,MW,MZ,NA,NE,NG,NL,NO,OM,PK,PL,PS,PT,QA,RO,RS,RU,RW,SA,SD,SE,SI,SK,SL,SM,SN,SO,SS,ST,SY,SZ,TD,TG,TJ,TM,TN,TR,TZ,UA,UG,UZ,YE,ZA,ZM,ZW","Middle East & North Africa,South Asia,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific","Asia,Europe,Africa",NA,1.477121255,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"5,190,000-9,360,000",5190000,9360000
Acrocephalus atyphus,Sylviidae,Old World warblers,Tuamotu Reed-warbler,0.7,0,0.2,0,0,0,0,0,0,0.1,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,31.21,NA,NA,NA,NA,LC,NA,0.54264267,Acrocephalus,atyphus,15,495000,-0.169925423,PF,East Asia & Pacific,Oceania,NA,1.494293769,5.694605199,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acrocephalus australis,Sylviidae,Old World warblers,Australian Reed-warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,17.7,6.586382984,19.65083594,6.48247058,23.83455558,LC,evidence,1.284157096,Acrocephalus,australis,69,NA,NA,"AU,ID,PG,PH,SB,TL",East Asia & Pacific,"Oceania,Asia",NA,1.247973266,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Acrocephalus bistrigiceps,Sylviidae,Old World warblers,Black-browed Reed-warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,8.67,8.332418484,20.28415562,7.964442293,28.88484877,LC,evidence,9.253723233,Acrocephalus,bistrigiceps,132,6510000,0.39244534,"CN,HK,ID,IN,JP,KH,KP,KR,LA,MM,MN,MY,NP,RU,SG,TH,TW,VN","East Asia & Pacific,South Asia,Europe & Central Asia","Asia,Europe",NA,0.938019097,6.813580989,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acrocephalus brevipennis,Sylviidae,Old World warblers,Cape Verde Warbler,0.9,0,0,0,0,0,0.1,0,0,0,Invertebrate,0,0,0,0.2,0.8,0,0,0,0,16,NA,NA,NA,NA,VU,NA,2.741636229,Acrocephalus,brevipennis,13,NA,NA,CV,Sub-Saharan Africa,Africa,NA,1.204119983,NA,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1,500-2,000",1500,2000
Acrocephalus caffer,Sylviidae,Old World warblers,Tahiti Reed-warbler,0.7,0,0.1,0.1,0,0,0,0.1,0,0,Invertebrate,0,0,0,0,0,1,0,0,0,31.21,NA,NA,NA,NA,EN,NA,0.933547232,Acrocephalus,caffer,9,NA,NA,PF,East Asia & Pacific,Oceania,NA,1.494293769,NA,NA,Not trade-threatened,ForStrat.canopy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,250-999,250,999
Acrocephalus concinens,Sylviidae,Old World warblers,Blunt-winged Warbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.2,0.3,0.2,0.3,0,0,0,8.3,8.643828048,15.85798437,5.4153183,24.80874489,LC,NA,5.63153402,Acrocephalus,concinens,9,6820000,-0.737858541,"AF,BD,BT,CN,HK,IN,LA,MM,NP,PK,TH,VN","South Asia,East Asia & Pacific",Asia,NA,0.919078092,6.833784375,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Acrocephalus dumetorum,Sylviidae,Old World warblers,Blyth's Reed-warbler,0.9,0,0,0,0,0,0,0,0.1,0,Invertebrate,0,0,0.2,0.2,0.4,0.2,0,0,0,11.2,12.00719676,15.06214121,2.428182336,18.32761772,LC,NA,7.128608103,Acrocephalus,dumetorum,1202,NA,NA,"AE,AF,BD,BE,BG,BH,BT,BY,CH,CY,DE,DK,EE,ES,FI,FR,GB,GI,HK,IE,IL,IN,IR,IT,JO,KG,KW,KZ,LK,LT,LV,MM,MN,MT,NG,NL,NO,NP,OM,PK,RO,RU,SA,SE,SY,TJ,TM,UZ","Middle East & North Africa,South Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa","Asia,Europe,Africa",NA,1.049218023,NA,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"21,800,000-47,800,000",21800000,47800000
Acrocephalus familiaris,Sylviidae,Old World warblers,Millerbird,0.9,0,0,0,0,0,0,0,0.1,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,18.3,NA,NA,NA,NA,CR,NA,2.582636303,Acrocephalus,familiaris,3,NA,NA,US,North America,Americas,NA,1.26245109,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,250-999,250,999
Acrocephalus gracilirostris,Sylviidae,Old World warblers,Lesser Swamp-warbler,0.8,0,0.2,0,0,0,0,0,0,0,Invertebrate,0,0.2,0.2,0.6,0,0,0,0,0,14.4,13.00224452,18.1085179,3.952715391,24.83377778,LC,NA,2.57905621,Acrocephalus,gracilirostris,113,15700000,0.203399627,"AO,BI,BW,CD,DJ,ET,KE,LS,MW,MZ,NA,NG,RW,SD,SO,SS,SZ,TD,TZ,UG,ZA,ZM,ZW","Sub-Saharan Africa,Middle East & North Africa",Africa,NA,1.158362492,7.195899652,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
