Scientific,BLFamilyLatin,BLFamilyEnglish,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,ForStrat.watbelowsurf,ForStrat.wataroundsurf,ForStrat.ground,ForStrat.understory,ForStrat.midhigh,ForStrat.canopy,ForStrat.aerial,PelagicSpecialist,Nocturnal,BodyMass.Value,CU_c_spMin,CU_c_spMean,CU_c_spSD,CU_c_spMax,redList,SiTDB_trade,ED,genus,species,nsong,rangeExtent,resid.songQuality,distr_country,distr_region,distr_continent,SiTDB_trade_as_threat,logBodyMass,logRangeExtent,logAbundance,trade.binary,ForStrat.Category,Diet.FruiNect,Diet.Invertebrate,Diet.Omnivore,Diet.PlantSeed,Diet.VertFishScav,watbelowsurf,wataroundsurf,ground,understory,midhigh,canopy,aerial,popRange,popLow,popHigh
Tregellasia capito,Petroicidae,Australasian robins,Pale-yellow Robin,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0.6,0.3,0.1,0,0,0,0,13.9,6.67719169,26.0456211,13.51505485,44.30167007,LC,NA,11.9559855,Tregellasia,capito,19,747000,0.083874242,AU,East Asia & Pacific,Oceania,NA,1.1430148,5.873320602,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Tregellasia leucops,Petroicidae,Australasian robins,White-faced Robin,0.8,0,0,0,0,0,0,0,0.2,0,Invertebrate,0,0,0,0.4,0.6,0,0,0,0,15.57,12.69983686,30.56738336,12.5296092,48.19936525,LC,NA,11.9559855,Tregellasia,leucops,10,1650000,-0.285676546,"AU,ID,PG",East Asia & Pacific,"Oceania,Asia",NA,1.192288613,6.217483944,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
Trichastoma bicolor,Timaliidae,Babblers and parrotbills,Ferruginous Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.6,0.4,0,0,0,0,0,27.2,8.554716091,25.05857477,12.29256017,37.38604157,LC,possible,3.219742519,Trichastoma,bicolor,68,NA,NA,"BN,ID,MM,MY,TH",East Asia & Pacific,Asia,NA,1.434568904,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trichastoma buettikoferi,Timaliidae,Babblers and parrotbills,Sumatran Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,1,0,0,0,0,0,17.1,7.027628269,16.63752003,6.155197843,23.93304959,NT,possible,3.134977042,Trichastoma,buettikoferi,67,NA,NA,ID,East Asia & Pacific,Asia,NA,1.23299611,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Trichastoma celebense,Timaliidae,Babblers and parrotbills,Sulawesi Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.5,0,0,0,0,0,23.6,10.58128762,16.72559611,4.25890489,22.81355357,LC,NA,1.827533677,Trichastoma,celebense,31,NA,NA,ID,East Asia & Pacific,Asia,NA,1.372912003,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trichastoma pyrrogenys,Timaliidae,Babblers and parrotbills,Temminck's Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.5,0.4,0.1,0,0,0,0,23.16,13.17159907,18.02159307,5.463088273,27.69844807,LC,evidence,3.134977042,Trichastoma,pyrrogenys,67,NA,NA,"ID,MY",East Asia & Pacific,Asia,NA,1.364738555,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trichastoma rostratum,Timaliidae,Babblers and parrotbills,White-chested Babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,1,0,0,0,0,0,0,17.8,10.55496742,16.87757692,4.447745733,23.93923787,NT,NA,1.827533677,Trichastoma,rostratum,104,NA,NA,"BN,ID,MM,MY,SG,TH",East Asia & Pacific,Asia,NA,1.250420002,NA,NA,Not trade-threatened,ForStrat.ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trichastoma tickelli,Timaliidae,Babblers and parrotbills,Buff-breasted babbler,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,1,0,0,0,0,0,17.1,7.247838592,15.96515147,5.684893498,24.85884132,LC,NA,8.170472647,Trichastoma,tickelli,67,NA,NA,"BD,CN,IN,KH,LA,MM,MY,TH,VN","South Asia,East Asia & Pacific",Asia,NA,1.23299611,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Trichixos pyrropygus,Muscicapidae,Chats and Old World flycatchers,Rufous-tailed Shama,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0.33,0.33,0.33,0,0,0,0,40.9,12.45097247,22.9607381,9.91952944,34.87323,NT,evidence,13.04426844,Trichixos,pyrropygus,67,NA,NA,"BN,ID,MY,TH",East Asia & Pacific,Asia,yes,1.611723308,NA,NA,Trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trichodere cockerelli,Meliphagidae,Honeyeaters,White-streaked Honeyeater,0.3,0,0,0,0,0,0,0.7,0,0,FruiNect,0,0,0,0.7,0.3,0,0,0,0,14.65,14.87620986,16.21969589,1.659325052,18.96703915,LC,NA,13.77955827,Trichodere,cockerelli,8,132000,-0.099110462,AU,East Asia & Pacific,Oceania,NA,1.165837625,5.120573931,NA,Not trade-threatened,ForStrat.understory,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Tricholestes criniger,Pycnonotidae,Bulbuls,Hairy-backed Bulbul,0.5,0,0,0,0,0,0.5,0,0,0,Omnivore,0,0,0,0.2,0.8,0,0,0,0,17.1,18.07349832,28.21199389,8.507336947,36.64739374,LC,NA,28.2222732,Tricholestes,criniger,34,3680000,-0.025648723,"BN,ID,MM,MY,TH",East Asia & Pacific,Asia,NA,1.23299611,6.565847819,NA,Not trade-threatened,ForStrat.midhigh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
Trichothraupis melanops,Thraupidae,Tanagers,Black-goggled Tanager,0.7,0,0,0,0,0,0.2,0,0.1,0,Invertebrate,0,0,0.3,0.3,0.2,0.1,0.1,0,0,22.58,17.12317416,25.37800288,10.12757659,40.21990504,LC,evidence,5.70445649,Trichothraupis,melanops,83,6490000,0.147053763,"AR,BO,BR,PE,PY,UY",Latin America & Caribbean,Americas,NA,1.353723938,6.812244697,NA,Not trade-threatened,Mixed strategies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
Trochocercus cyanomelas,Monarchidae,Monarchs,African Crested-flycatcher,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.5,0.5,0,0,0,0,10.2,11.82429854,18.98908434,4.894282508,25.32650399,LC,NA,7.738136415,Trochocercus,cyanomelas,65,NA,NA,ZA,Sub-Saharan Africa,Africa,NA,1.008600172,NA,NA,Not trade-threatened,ForStrat.understory,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
Trochocercus nitens,Monarchidae,Monarchs,Blue-headed Crested-flycatcher,1,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0.2,0.6,0.2,0,0,0,11.8,17.98624386,20.57269684,3.171807634,26.50519584,LC,NA,7.738136415,Trochocercus,nitens,19,NA,NA,"AO,BI,CD,CF,CG,CI,CM,GA,GH,GN,GQ,LR,NG,RW,SD,SL,SS,TG,UG",Sub-Saharan Africa,Africa,NA,1.071882007,NA,NA,Not trade-threatened,ForStrat.midhigh,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
